month,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
86年,1628,518,578,1407,713,334,2342,442,359,2352,559,164,873,597,476,117,227,421,137,519,266,20
86年 1月,143,53,54,110,79,23,129,42,55,287,58,14,108,83,47,16,15,37,11,45,46,2
86年 2月,130,48,45,115,63,21,92,35,53,154,40,14,69,101,15,13,9,37,11,31,17,3
86年 3月,129,47,44,111,59,27,120,49,32,221,74,15,87,35,62,11,20,22,15,47,17,2
86年 4月,117,32,48,116,62,24,160,39,26,185,40,15,87,32,58,11,36,30,12,60,23,0
86年 5月,141,41,45,72,55,22,273,34,20,109,24,14,43,35,33,8,7,34,16,30,3,0
86年 6月,95,45,40,52,55,20,164,19,12,50,18,3,26,31,18,6,7,46,9,23,3,1
86年 7月,122,34,50,75,52,45,182,41,19,96,22,10,35,28,15,8,11,39,14,34,9,2
86年 8月,130,29,49,70,35,45,166,33,31,93,22,15,32,37,16,7,9,55,7,28,8,2
86年 9月,136,43,54,158,62,31,179,31,21,210,32,16,45,39,32,7,20,39,9,55,23,2
86年 10月,138,45,52,181,64,22,297,40,18,255,45,19,89,91,44,5,23,34,15,41,55,2
86年 11月,190,50,57,205,69,39,370,47,52,396,108,14,136,36,79,15,43,19,12,71,43,2
86年 12月,157,51,40,142,58,15,210,32,20,296,76,15,116,49,57,10,27,29,6,54,19,2
87年,1670,985,655,1695,689,330,1910,408,298,846,524,603,1050,638,398,115,247,409,101,460,449,19
87年 1月,132,92,46,176,73,18,232,37,34,117,117,13,172,144,74,7,24,33,5,58,26,2
87年 2月,95,74,34,101,40,24,126,20,29,56,34,15,54,72,35,7,6,28,10,30,23,2
87年 3月,132,47,54,100,51,17,125,34,18,81,53,21,87,53,41,9,13,48,9,35,6,0
87年 4月,150,63,56,111,58,33,203,38,29,69,64,10,102,43,35,13,42,35,12,47,57,3
87年 5月,110,78,48,90,48,21,151,18,20,66,14,16,56,39,6,10,10,39,2,32,6,0
87年 6月,100,88,49,68,54,12,187,20,12,54,23,32,39,26,10,6,10,25,6,22,9,2
87年 7月,194,122,52,113,64,54,128,40,31,70,24,70,86,28,25,18,15,43,12,39,10,0
87年 8月,190,97,41,133,45,72,309,43,26,46,27,45,43,29,40,11,25,46,10,38,33,1
87年 9月,180,70,60,145,57,35,91,41,23,62,27,52,73,30,23,7,28,34,6,27,59,3
87年 10月,122,76,56,304,43,18,144,35,13,68,29,76,89,43,22,6,30,27,6,50,134,1
87年 11月,149,83,77,189,98,14,107,37,40,72,63,127,128,67,28,7,18,23,10,46,50,4
87年 12月,116,95,82,165,58,12,107,45,23,85,49,126,121,64,59,14,26,28,13,36,36,1
88年,2221,936,2067,2276,921,354,1169,784,225,510,1014,1159,1341,856,317,229,238,440,130,332,652,23
88年 1月,133,73,148,196,61,20,110,56,25,56,75,100,129,63,29,6,18,28,7,41,56,3
88年 2月,295,92,347,296,55,30,112,159,42,68,239,226,328,165,74,9,1,77,15,98,70,5
88年 3月,125,59,192,259,48,33,87,63,14,53,192,158,172,243,72,28,41,30,10,56,50,3
88年 4月,245,62,189,274,48,47,108,55,14,46,174,147,246,216,25,47,122,42,12,36,128,0
88年 5月,141,65,87,116,49,23,108,36,13,40,38,48,44,27,10,21,11,27,11,8,9,1
88年 6月,117,75,132,138,63,27,96,32,21,41,37,45,59,22,6,20,4,31,11,10,10,2
88年 7月,196,129,116,88,69,24,114,65,26,38,32,32,33,15,11,25,2,40,17,13,16,0
88年 8月,158,78,114,99,87,47,103,42,14,43,27,38,38,15,16,17,5,59,7,6,10,2
88年 9月,207,91,138,183,99,45,108,74,7,35,52,58,67,10,10,9,15,41,19,7,11,1
88年 10月,189,65,168,179,80,18,68,75,13,28,33,69,0,29,10,14,7,22,4,8,69,2
88年 11月,223,63,231,238,122,17,81,51,18,31,58,141,126,33,20,16,4,18,10,19,80,3
88年 12月,192,84,205,210,140,23,74,76,18,31,57,97,99,18,34,17,8,25,7,30,143,1
89年,1484,854,1754,2570,1677,356,1056,551,182,340,615,964,1019,124,271,149,68,329,118,434,581,30
89年 1月,228,93,251,292,239,25,108,53,16,38,64,109,146,8,43,21,3,32,7,47,120,7
89年 2月,234,84,220,272,192,23,93,70,18,35,84,92,128,17,43,18,4,23,9,55,65,3
89年 3月,92,74,169,341,289,28,87,36,14,26,85,103,124,20,36,19,19,24,3,38,70,4
89年 4月,77,56,88,179,222,17,82,26,20,23,46,58,60,10,30,11,18,19,5,32,10,1
89年 5月,134,63,85,197,159,27,104,42,19,26,38,66,77,13,25,12,3,26,4,30,15,1
89年 6月,93,67,88,168,87,27,110,30,19,29,31,67,59,6,21,11,5,21,5,27,7,1
89年 7月,103,61,104,92,46,36,94,38,10,19,30,64,56,5,14,6,3,43,6,19,10,2
89年 8月,135,60,100,97,46,39,88,37,12,30,24,32,31,6,13,11,4,36,16,14,9,2
89年 9月,112,82,165,334,136,38,67,37,13,31,67,105,107,11,14,12,0,36,13,39,59,2
89年 10月,116,50,152,262,92,38,74,79,16,31,68,108,88,14,9,7,6,24,16,55,109,3
89年 11月,78,77,164,151,67,35,68,42,15,24,29,74,62,9,12,13,1,21,21,35,71,3
89年 12月,82,87,168,185,102,23,81,61,10,28,49,86,81,5,11,8,2,24,13,43,36,1
90年,1011,814,1105,1795,1649,410,1042,748,120,334,497,1005,793,358,87,144,71,390,124,375,822,32
90年 1月,97,65,121,262,178,28,112,50,11,43,83,146,150,12,12,21,3,41,14,70,62,1
90年 2月,73,56,123,189,158,20,89,72,10,30,59,87,78,10,14,15,0,28,17,35,47,2
90年 3月,97,54,233,265,284,36,84,49,19,26,103,190,205,18,15,15,18,25,7,38,66,2
90年 4月,62,67,53,135,181,25,76,40,12,29,29,52,42,13,5,10,21,17,10,15,56,1
90年 5月,78,56,57,82,103,29,87,33,10,21,26,40,32,53,3,8,4,35,9,25,17,1
90年 6月,82,63,64,61,69,35,75,55,13,27,18,29,21,30,6,7,2,30,10,19,7,5
90年 7月,82,66,73,88,92,50,88,45,5,28,21,32,24,27,3,14,2,45,20,21,20,4
90年 8月,114,80,68,97,89,71,110,79,12,27,27,73,36,25,5,12,7,47,8,36,90,0
90年 9月,57,93,58,82,79,31,82,46,7,19,13,33,25,26,3,8,3,30,1,16,9,6
90年 10月,94,69,78,160,121,30,67,56,7,28,28,72,35,36,5,9,4,30,6,27,82,3
