時間地點,消防員因公傷亡,消防車,救災車,消防勤務車,救護車輛,消防人力總計,土地面積(平方公里),人口數(人),消防車/土地面積(平方公里),消防車/人口數(人),救災車/土地面積(平方公里),救災車/人口數(人),消防勤務車/土地面積(平方公里),消防勤務車/人口數(人),救護車輛/土地面積(平方公里),救護車輛/人口數(人),消防人力總計/土地面積(平方公里),消防人力總計/人口數(人)
102年臺東縣,0,51,17,100,30,285,3515.2526,224821,0.014508203478748583,0.00022684713616610548,0.0048360678262495274,7.56157120553685e-05,0.02844745780146781,0.00044479830620804996,0.008534237340440343,0.00013343949186241498,0.08107525473418326,0.0012676751726929424,
94年彰化縣,5,93,13,125,49,414,1074.396,1315826,0.08656026269643595,7.067803797766573e-05,0.012099821667243736,9.87972573881349e-06,0.11634443910811285,9.499736287320663e-05,0.04560702013038023,3.7238966246297e-05,0.3853327823260697,0.0003146312658360604,
101年金門縣,0,23,10,16,11,70,151.656,113111,0.1516590177770744,0.00020334008186648512,0.06593870338133671,8.840873124629789e-05,0.10550192541013872,0.0001414539699940766,0.07253257371947038,9.724960437092767e-05,0.4615709236693569,0.0006188611187240852,
102年新竹縣,10,65,14,122,38,337,1427.5369,530486,0.045532973613501684,0.00012252915251297866,0.009807102009061902,2.6390894387410788e-05,0.08546188893611086,0.00022997779394743687,0.02661927688173945,7.163242762297214e-05,0.2360709555038472,0.000635266529182674,
96年彰化縣,0,112,15,128,53,453,1074.396,1314354,0.1042446174408691,8.521296393513467e-05,0.013961332692973541,1.1412450527026966e-05,0.11913670564670754,9.738624449729678e-05,0.049330042181839846,4.032399186216194e-05,0.4216322473278009,0.00034465600591621434,
94年金門縣,0,21,14,26,10,56,153.056,70264,0.13720468325318835,0.0002988728224980075,0.0914697888354589,0.000199248548332005,0.16987246498013797,0.0003700330183308665,0.06533556345389922,0.00014232039166571788,0.3658791553418356,0.00079699419332802,
94年連江縣,0,14,0,12,7,21,28.8,10345,0.4861111111111111,0.0013533107781536974,0.0,0.0,0.41666666666666663,0.0011599806669888835,0.24305555555555555,0.0006766553890768487,0.7291666666666666,0.002029966167230546,
95年屏東縣,5,97,17,126,36,328,2775.6003,893544,0.034947394983348284,0.00010855648966363156,0.006124801182648669,1.9025364167852956e-05,0.0453955852361019,0.00014101152265585132,0.012970167210314828,4.0289006473100376e-05,0.11817263458286843,0.0003670776145326923,
96年桃園縣,23,157,35,230,85,859,1220.954,1934968,0.12858797301126823,8.113829272628797e-05,0.028666108633085278,1.8088154429427257e-05,0.18837728530313183,0.00011886501482195055,0.06961769239463567,4.392837504289477e-05,0.7035482090234358,0.0004439349901393718,
100年雲林縣,5,61,45,46,30,366,1290.8326,713556,0.04725632123018895,8.548733386027165e-05,0.034861220579647585,6.306442661823319e-05,0.03563591437030642,6.44658583208606e-05,0.02324081371976506,4.2042951078822125e-05,0.2835379273811337,0.0005129240031616299,
94年基隆市,1,46,31,57,17,179,132.7589,391727,0.34649277750870183,0.00011742871949086992,0.23350600223412515,7.913674574384712e-05,0.4293497460433914,0.00014550950023868665,0.12805167864452024,4.339757024662584e-05,1.3483088516099484,0.00045695088671447205,
95年苗栗縣,3,51,18,85,24,230,1820.3149,559986,0.028017130442650334,9.107370541406393e-05,0.009888398979758942,3.2143660734375504e-05,0.046695217404417226,0.00015178950902343987,0.013184531973011922,4.285821431250067e-05,0.12635176474136425,0.0004107245538281314,
94年花蓮縣,1,55,11,73,25,142,4628.5714,347298,0.011882716122732817,0.00015836543832673956,0.0023765432245465633,3.1673087665347915e-05,0.015771605035627193,0.00021019412723367252,0.005401234601242189,7.198429014851799e-05,0.030679012535055634,0.00040887076804358216,
94年新北市,1,254,40,380,115,923,2052.5667,3736677,0.1237475011165289,6.797483432472221e-05,0.01948779545142187,1.0704698318853892e-05,0.18513405678850778,0.00010169463402911196,0.05602741192283788,3.0776007666704936e-05,0.4496808800415597,0.00024701091370755356,
97年高雄市,2,235,82,177,120,1209,2946.2671,2769054,0.07976194690562848,8.486652842450887e-05,0.02783182828196398,2.9613001407700968e-05,0.060076019584239325,6.392074694101307e-05,0.04072950480287412,4.333609962102581e-05,0.41034976088895675,0.000436611203681835,
97年苗栗縣,2,51,27,84,27,251,1820.3149,560397,0.028017130442650334,9.100691117190135e-05,0.014832598469638412,4.818012944394777e-05,0.04614586190554173,0.00014989373604783752,0.014832598469638412,4.818012944394777e-05,0.13788823021774968,0.0004478967589048478,
102年新竹市,3,38,23,65,14,224,104.1526,428483,0.36484926924531885,8.868496533118e-05,0.2208298208590088,5.367774217413526e-05,0.624084276340677,0.00015169796701386051,0.13441815182722275,3.267340827990842e-05,2.150690429235564,0.0005227745324785347,
100年新竹縣,14,64,22,108,43,335,1427.5369,517641,0.04483246632714012,0.0001236378107607396,0.015411160299954417,4.250049744900423e-05,0.07565478692704895,0.00020863880565874805,0.03012181331354727,8.30691541048719e-05,0.2346699409311241,0.0006471666657007463,
94年宜蘭縣,0,40,4,40,19,156,2143.6251,461586,0.018659979303283954,8.665774091935197e-05,0.0018659979303283954,8.665774091935197e-06,0.018659979303283954,8.665774091935197e-05,0.008863490169059879,4.1162426936692186e-05,0.07277391928280742,0.0003379651895854727,
99年高雄市,3,242,95,252,127,1264,2946.2671,2773483,0.08213783468579614,8.725490655612455e-05,0.03224419130227534,3.4252959185255504e-05,0.08553196008603564,9.086048120720408e-05,0.043105392583041774,4.5790798068709995e-05,0.429017450590274,0.0004557446358964522,
95年雲林縣,0,61,41,43,25,326,1290.8326,728490,0.04725632123018895,8.373484879682632e-05,0.031762445417012244,5.628080001098162e-05,0.03331183299832992,5.902620488956609e-05,0.01936734476647088,3.4317560982305866e-05,0.2525501757547803,0.0004475009952092685,
101年苗栗縣,3,68,53,144,25,368,1820.3149,563976,0.03735617392353378,0.00012057250663148787,0.029115841440401326,9.397563016865965e-05,0.07910719183807154,0.00025533001404315077,0.013733887471887418,4.4328127438047006e-05,0.2021628235861828,0.000652510035888052,
